date,age_group,total_hospitalised,total_icu
2021-09-14,10 to 19,6,1
2021-09-14,20 to 29,23,1
2021-09-14,30 to 39,32,2
2021-09-14,40 to 49,41,3
2021-09-14,50 to 59,53,4
2021-09-14,60 to 69,35,4
2021-09-14,70 to 79,30,4
2021-09-14,80 to 89,8,0
2021-09-14,90+,5,0
2021-09-14,Total,236,19
2021-09-17,0 to 9,4,0
2021-09-17,10 to 19,6,1
2021-09-17,20 to 29,23,1
2021-09-17,30 to 39,33,2
2021-09-17,40 to 49,41,3
2021-09-17,50 to 59,54,4
2021-09-17,60 to 69,35,4
2021-09-17,70 to 79,32,4
2021-09-17,80 to 89,8,0
2021-09-17,90+,5,0
2021-09-17,Total,241,19
2021-09-18,0 to 9,4,0
2021-09-18,10 to 19,6,1
2021-09-18,20 to 29,23,1
2021-09-18,30 to 39,33,2
2021-09-18,40 to 49,42,3
2021-09-18,50 to 59,54,4
2021-09-18,60 to 69,35,4
2021-09-18,70 to 79,32,4
2021-09-18,80 to 89,8,0
2021-09-18,90+,5,0
2021-09-18,Total,242,19
2021-09-19,0 to 9,4,0
2021-09-19,10 to 19,6,1
2021-09-19,20 to 29,23,1
2021-09-19,30 to 39,33,2
2021-09-19,40 to 49,42,3
2021-09-19,50 to 59,54,4
2021-09-19,60 to 69,35,4
2021-09-19,70 to 79,32,4
2021-09-19,80 to 89,8,0
2021-09-19,90+,5,0
2021-09-19,Total,242,19
2021-09-21,0 to 9,4,0
2021-09-21,10 to 19,7,1
2021-09-21,20 to 29,23,1
2021-09-21,30 to 39,34,2
2021-09-21,40 to 49,43,3
2021-09-21,50 to 59,54,4
2021-09-21,60 to 69,35,4
2021-09-21,70 to 79,32,4
2021-09-21,80 to 89,8,0
2021-09-21,90+,5,0
2021-09-21,Total,245,19
2021-09-22,0 to 9,4,0
2021-09-22,10 to 19,7,1
2021-09-22,20 to 29,23,1
2021-09-22,30 to 39,34,2
2021-09-22,40 to 49,43,3
2021-09-22,50 to 59,54,4
2021-09-22,60 to 69,35,4
2021-09-22,70 to 79,32,4
2021-09-22,80 to 89,8,0
2021-09-22,90+,5,0
2021-09-22,Total,245,19
2021-09-23,0 to 9,4,0
2021-09-23,10 to 19,7,1
2021-09-23,20 to 29,23,1
2021-09-23,30 to 39,34,2
2021-09-23,40 to 49,43,3
2021-09-23,50 to 59,55,4
2021-09-23,60 to 69,35,4
2021-09-23,70 to 79,32,4
2021-09-23,80 to 89,8,0
2021-09-23,90+,5,0
2021-09-23,Total,246,19
2021-09-24,0 to 9,4,0
2021-09-24,10 to 19,7,1
2021-09-24,20 to 29,23,1
2021-09-24,30 to 39,34,2
2021-09-24,40 to 49,43,3
2021-09-24,50 to 59,55,4
2021-09-24,60 to 69,35,4
2021-09-24,70 to 79,32,4
2021-09-24,80 to 89,8,0
2021-09-24,90+,5,0
2021-09-24,Total,246,19
2021-09-25,0 to 9,4,0
2021-09-25,10 to 19,7,1
2021-09-25,20 to 29,23,1
2021-09-25,30 to 39,34,2
2021-09-25,40 to 49,43,3
2021-09-25,50 to 59,56,4
2021-09-25,60 to 69,35,4
2021-09-25,70 to 79,32,4
2021-09-25,80 to 89,8,0
2021-09-25,90+,5,0
2021-09-25,Total,247,19
2021-09-26,0 to 9,4,0
2021-09-26,10 to 19,7,1
2021-09-26,20 to 29,23,1
2021-09-26,30 to 39,34,2
2021-09-26,40 to 49,43,3
2021-09-26,50 to 59,56,4
2021-09-26,60 to 69,35,4
2021-09-26,70 to 79,32,4
2021-09-26,80 to 89,8,0
2021-09-26,90+,5,0
2021-09-26,Total,247,19
2021-09-27,0 to 9,4,0
2021-09-27,10 to 19,7,1
2021-09-27,20 to 29,23,1
2021-09-27,30 to 39,34,2
2021-09-27,40 to 49,45,3
2021-09-27,50 to 59,56,4
2021-09-27,60 to 69,37,4
2021-09-27,70 to 79,32,4
2021-09-27,80 to 89,8,0
2021-09-27,90+,5,0
2021-09-27,Total,251,19
2021-09-28,0 to 9,4,0
2021-09-28,10 to 19,7,1
2021-09-28,20 to 29,24,1
2021-09-28,30 to 39,34,2
2021-09-28,40 to 49,45,3
2021-09-28,50 to 59,57,4
2021-09-28,60 to 69,38,4
2021-09-28,70 to 79,32,4
2021-09-28,80 to 89,8,0
2021-09-28,90+,5,0
2021-09-28,Total,254,19
2021-09-29,0 to 9,4,0
2021-09-29,10 to 19,7,1
2021-09-29,20 to 29,24,1
2021-09-29,30 to 39,35,2
2021-09-29,40 to 49,46,3
2021-09-29,50 to 59,59,4
2021-09-29,60 to 69,38,4
2021-09-29,70 to 79,32,4
2021-09-29,80 to 89,8,0
2021-09-29,90+,5,0
2021-09-29,Total,258,19
2021-09-30,0 to 9,4,0
2021-09-30,10 to 19,7,1
2021-09-30,20 to 29,24,1
2021-09-30,30 to 39,35,2
2021-09-30,40 to 49,46,3
2021-09-30,50 to 59,60,4
2021-09-30,60 to 69,38,4
2021-09-30,70 to 79,32,4
2021-09-30,80 to 89,8,0
2021-09-30,90+,6,0
2021-09-30,Total,260,19
